"Time
(UTC)",Latitude,Longitude,"Altitude
(feet)","Air
Pressure
Altitude","Air
Temp
at FL
(°C)","Speed
Sound
(knots)",Mach,"TAS
(knots)","Wind
Speed
at FL
(knots)","Wind
From
at FL
(degT)","Track
(degT)","Ground
Speed
(knots)","Heading
(degT)","Distance
(km)","Along-Track
Wind
at FL
(knots)","Cross-Track
Wind
at FL
(knots)","∂SAT
at FL
(°C)","Aircraft
Weight
(kg)","Fuel
(kg)","Fuel
Right
(kg)","Fuel
Left
(kg)","Fuel Rate
Nominal
(kg/sec)","Fuel Rate
Right
(kg/sec)","Fuel Rate
Left
(kg/sec)"
20:37:03,-4.81407690557465,93.7535362135067,39300.0,192.097,-55.7625327558195,574.391575702066,0.840459689061632,482.752965114179,8.92389324054655,88.6907155846304,180.0,482.87442518955,178.941079460885,2157.69432296804,0.203905027790685,8.92156338924486,0.736994044180534,195082.67398573,20713.6739857296,10225.1374706314,10488.5365150982,0.83718307963047,0.843461952727698,0.830904206533241
20:38:03,-4.94771186033674,93.7535362135067,39300.0,192.097,-55.7651055970062,574.388176649915,0.840469683509162,482.755849040359,8.24709446986072,91.1833249903753,180.0,482.515115433289,179.021356433013,2172.58795619775,-0.17031445091112,8.24533566221643,0.734421202993835,194982.212016174,20613.2120161739,10174.5297534677,10438.6822627062,0.836752159784652,0.843027800983037,0.830476518586267
20:39:03,-5.08124720009587,93.7535362135067,39300.0,192.097,-55.7566119545898,574.399397761071,0.840479677956691,482.771020848742,8.47869159074572,91.9721459544323,180.0,482.404866887487,178.994284230128,2187.47818642234,-0.291782673470355,8.4736694508604,0.742914845410226,194881.801757,20512.8017569997,10123.9480854087,10388.853671591,0.836353074294721,0.842625722351932,0.830080426237511
20:40:03,-5.21475184769879,93.7535362135067,39300.0,192.097,-55.7406004210711,574.420550303827,0.84048967240422,482.794540147115,9.2941235032656,91.6695359356849,180.0,482.434366502175,178.897417421572,2202.86569856102,-0.270782203712287,9.29017807644755,0.758926378928935,194781.439388084,20412.4393880844,10073.3905420676,10339.0488460168,0.83597562868494,0.842245445900078,0.829705811469803
20:41:05,-5.35271489435152,93.7535362135067,39300.0,192.097,-55.723593933209,574.443016409488,0.8405,482.819355292175,10.1362911903304,91.3612126460114,180.0,482.472211437494,178.797385728578,2217.75800748739,-0.240791729308143,10.1334307338762,0.775932866791037,194677.778410127,20308.7784101275,10021.1713244218,10287.6070857056,0.835587066645183,0.841853969645022,0.829320163645344
20:42:05,-5.48623779664729,93.7535362135067,39300.0,192.097,-55.7066893359765,574.4653470437,0.840504969630039,482.840979070475,10.9508758366984,91.0670643233473,180.0,482.512887786038,178.700640664172,2232.65157195705,-0.203934976147461,10.948976761154,0.792837464023494,194577.50796213,20208.50796213,9970.66008624311,10237.8478758869,0.835212458052231,0.841476551487623,0.82894836461684
20:43:05,-5.6197717604995,93.7535362135067,39300.0,192.097,-55.6893451763542,574.48825742887,0.840509939260077,482.863090357168,11.7650569794908,90.7770745756004,180.0,482.560207641245,178.603966994149,2247.54659703291,-0.159558809806055,11.7639749539379,0.810181623645823,194477.282467164,20108.2824671638,9920.17149315385,10188.1109740099,0.834839243324963,0.8411005376499,0.828577949000025
20:44:05,-5.75331861966778,93.7535362135067,39300.0,192.097,-55.6715611480703,574.511747900179,0.840514908890116,482.88568944262,12.5788462236823,90.4912408150754,180.0,482.613991652325,178.50736965123,2262.44328224191,-0.107846808593722,12.5783838940033,0.827965651929725,194377.101757965,20008.1017579648,9869.70546089485,10138.3962970699,0.834467420766341,0.840725926422088,0.828208915110593
20:45:05,-5.88688015826775,93.7535362135067,39300.0,192.097,-55.6533369397199,574.535818797774,0.840519878520155,482.908776621382,13.3922548455524,90.2095606521538,180.0,482.674060835747,178.410853200483,2277.34182158638,-0.0489823757667077,13.3921652683607,0.846189860280084,194276.965667473,19907.9656674728,9819.26190530953,10088.7037621633,0.834096988694566,0.840352716109776,0.827841261279357
20:46:05,-6.0204581108725,93.7535362135067,39300.0,192.097,-55.6357209221936,574.559085426288,0.840524848150193,482.931188031244,14.0921454776621,90.1726003036631,180.0,482.683086865311,178.327854060539,2292.24063953429,-0.0424517290905011,14.0920815358942,0.863805877806419,194176.874028829,19807.8740288295,9768.84074234294,10039.0332864865,0.833724960706454,0.839977897911753,0.827472023501156
