Date,"Time
(UTC)","Decimal Time
(UTC)","Time
Seconds
(UTC)",Channel Name,"Ocean
Region","GES ID
(octal)","Channel
Unit ID",ChannelType,SU Type,BFO(Hz),BTO(us)
7/03/2014,16:06:32.905,16.1091402777778,57992.9050000001,IOR-P10500-0-3859,IOR,305.0,10.0,P-Channel TX,Subsequent Signalling Unit,,
7/03/2014,16:06:32.905,16.1091402777778,57992.9050000001,IOR-P10500-0-3859,IOR,305.0,10.0,P-Channel TX,Subsequent Signalling Unit,,
7/03/2014,16:06:34.906,16.1096961111111,57994.906,IOR-R1200-0-36D3,IOR,305.0,8.0,R-Channel RX,0x62 - Acknowledge User Data (R-channel),88.0,14780.0
7/03/2014,16:06:35.406,16.109835,57995.406,IOR-R1200-0-36D3,IOR,305.0,8.0,R-Channel RX,Eleven Octet User Data,88.0,14860.0
7/03/2014,16:06:35.907,16.1099741666667,57995.9070000001,IOR-R1200-0-36D3,IOR,305.0,8.0,R-Channel RX,Eleven Octet User Data,88.0,14800.0
7/03/2014,16:06:36.407,16.1101130555556,57996.4070000002,IOR-R1200-0-36D3,IOR,305.0,8.0,R-Channel RX,Eight Octet User Data,88.0,14820.0
7/03/2014,16:06:36.905,16.1102513888889,57996.905,IOR-P10500-0-3859,IOR,305.0,10.0,P-Channel TX,0x62 - Acknowledge User Data,,
7/03/2014,16:06:38.405,16.1106680555556,57998.4050000002,IOR-P10500-0-3859,IOR,305.0,10.0,P-Channel TX,0x71 - User Data (ISU) - RLS,,
7/03/2014,16:06:38.405,16.1106680555556,57998.4050000002,IOR-P10500-0-3859,IOR,305.0,10.0,P-Channel TX,Subsequent Signalling Unit,,
7/03/2014,16:06:38.405,16.1106680555556,57998.4050000002,IOR-P10500-0-3859,IOR,305.0,10.0,P-Channel TX,Subsequent Signalling Unit,,
7/03/2014,16:06:38.405,16.1106680555556,57998.4050000002,IOR-P10500-0-3859,IOR,305.0,10.0,P-Channel TX,Subsequent Signalling Unit,,
