Index,"Seconds
(UTC)",Lat,"Surface
Pressure
(hPa)","Surface
Pressure
(Pa)","Surface
Temp
(°C)","Flight
Level",Calc,"Altitude
(feet)"
0,69600.0,0.188394493770205,1012.0,101200.0,27.6,354.0,,
0,69600.0,0.188394493770205,1012.0,101200.0,27.6,353.0,,
0,69600.0,0.188394493770205,1012.0,101200.0,27.6,352.0,,
0,69600.0,0.188394493770205,1012.0,101200.0,27.6,351.0,,
0,69600.0,0.188394493770205,1012.0,101200.0,27.6,350.0,238.4181,36503.38
0,69600.0,0.188394493770205,1012.0,101200.0,27.6,345.0,244.1511,34500.0
,,,,,,,,
,,,1013.25,,15.0,412.0,177.0247,41200.0
,,,1013.25,,15.0,411.0,177.8776,41100.0
,,,1013.25,,15.0,410.0,178.7347,41000.0
,,,1013.25,,15.0,409.0,179.5958,40900.0
,,,1013.25,,15.0,408.0,180.4611,40800.0
,,,1013.25,,15.0,407.0,181.3305,40700.0
,,,1013.25,,15.0,406.0,182.2042,40600.0
,,,1013.25,,15.0,405.0,183.082,40500.0
,,,1013.25,,15.0,404.0,183.9641,40400.0
,,,1013.25,,15.0,403.0,184.8505,40300.0
,,,1013.25,,15.0,402.0,185.7411,40200.0
,,,1013.25,,15.0,401.0,186.636,40100.0
,,,1013.25,,15.0,400.0,187.5352,40000.0
,,,,,,399.0,,
,,,,,,398.0,,
,,,,,,397.0,,
,,,,,,396.0,,
,,,,,,395.0,192.0966,39665.0
,,,,,,394.0,,
,,,,,,393.0,,
,,,,,,392.0,,
,,,,,,391.0,,
,,,1013.25,,15.0,390.0,196.769,39000.0
,,,,,,389.0,,
,,,,,,388.0,,
,,,,,,387.0,,
,,,,,,386.0,,
,,,,,,385.0,,
,,,,,,384.0,,
,,,,,,383.0,,
,,,,,,382.0,,
,,,,,,381.0,,
,,,1013.25,,15.0,380.0,206.4575,38000.0
,,,,,,379.0,,
,,,,,,378.0,,
,,,,,,377.0,,
,,,,,,376.0,,
,,,,,,375.0,,
,,,,,,374.0,,
,,,,,,373.0,,
,,,,,,372.0,,
,,,,,,371.0,,
,,,1013.25,,15.0,370.0,216.623,37000.0
,,,,,,369.0,,
,,,,,,368.0,,
,,,,,,367.0,,
,,,,,,366.0,,
,,,,,,365.0,,
,,,,,,364.0,,
,,,,,,363.0,,
,,,,,,362.0,,
,,,,,,361.0,,
,,,1013.25,,15.0,360.0,227.2883,36000.0
,,,,,,359.0,,
,,,,,,358.0,,
,,,,,,357.0,,
,,,,,,356.0,,
,,,,,,355.0,,
,,,,,,354.0,,
,,,,,,353.0,,
,,,,,,352.0,,
,,,,,,351.0,,
,,,1013.25,,15.0,350.0,238.4181,35000.0
,,,,,,,,
,11209.3,125648406.49,115.898876,-0.436784141208211,11896.8210179934,,,
,,,,,,,,
,,,,,,,,
18,1080.0,27.7,,1012.0,,,,
21,1260.0,28.2,,1011.0,,,,
2022-08-10 19:41:00,1181.0,,27.9805555555556,,1011.43888888889,,,
