"Seconds
(UTC)","Fuel
(kg)"
84060,4586.18467053357
84120,4492.21529907839
84180,4398.3104847323
84240,4304.480680999
84300,4210.72581629617
84360,4117.04581453208
84420,4023.44059509177
84480,3929.9100728229
84540,3836.4541580214
84600,3743.0727564168
84660,3649.78791407171
84720,3556.58162079994
84780,3463.45383445707
84840,3370.40451432544
84900,3277.45601659611
84960,3184.58608038865
85020,3091.7579924696
85080,2998.96626866049
85140,2906.2108101095
85200,2813.49152531075
85281,2688.36950105664
85320,2628.15769895135
85380,2535.54723038426
85440,2442.98459439776
85500,2350.4888669839
85560,2258.05941055728
85620,2165.69601869838
85680,2073.39809958537
85740,1981.16545606571
85800,1888.99746713576
85860,1796.89391955382
85920,1704.85224254511
85980,1612.87206686397
86040,1520.95285153091
86100,1429.09500904919
86160,1337.29768773014
86220,1245.56031532729
86280,1153.8827805225
86340,1062.25286034858
86400,970.687746251254
86460,879.192339929502
86520,787.76738369539
86580,696.404551434054
86640,605.108707583962
86700,513.880308851724
86760,422.719810901943
86820,331.568393846044
86880,240.455529549757
86940,149.328744956034
87000,58.215554567909
87060,-32.881273432166
