Latitude,Longitude,"Time
(UTC)","Seconds
(UTC)","Wind
Speed
350 hPa
(knots)","Wind
Speed
300 hPa
(knots)","Wind
Speed
250 hPa
(knots)","Wind
Speed
200 hPa
(knots)","Wind
Speed
150 hPa
(knots)","Wind
From
350 hPa
(degT)","Wind
From
300 hPa
(degT)","Wind
From
250 hPa
(degT)","Wind
From
200 hPa
(degT)","Wind
From
150 hPa
(degT)"
-36,83,2019-03-09 21:00:00,75600,6.47332320726222,5.6505389496215,11.0816186024754,23.1080518212393,21.4361191652401,228.652222780306,243.434948822922,254.744881296942,257.366638064725,239.481769321125
-36,83,2019-03-09 00:00:00,86400,5.40444703974603,9.06131820192311,17.4145034678035,24.3756859256717,21.7380573702805,232.305759533311,234.605204155013,236.842076115328,246.501434324048,234.462322208026
-36,83,2019-06-28 03:00:00,97200,5.6505389496215,9.78315903148636,16.9371220904646,24.533288985071,20.6084189246284,266.054813770962,229.028263666485,238.134022306396,245.668758083065,234.211026540817
-36,84,2019-03-09 18:00:00,64800,13.6581878648225,10.3481196447391,12.3705505995919,23.7634492307581,35.6890060559798,204.376468616675,208.009176708014,225.0,256.759480084813,216.807483967358
-36,84,2019-03-09 21:00:00,75600,9.91170099834451,7.58099352051836,12.4223678425947,25.4695557991245,23.0736879536096,228.179830119864,247.38013505196,249.863696571752,257.660912721674,240.19524852682
-36,84,2019-03-09 00:00:00,86400,8.70399648359149,12.0847109616696,19.2479870331451,26.316668145569,23.7220716424431,240.57254359681,244.259291643767,236.951875130025,247.412689468634,236.700579462816
-36,84,2019-06-28 03:00:00,97200,7.93174306124961,13.5149623897986,18.8232008539976,25.4220379297531,22.5971399706774,252.897271030948,229.666858371439,234.668668661084,246.571307191255,234.806092759897
-36,85,2019-03-09 18:00:00,64800,17.0405439736923,12.7065592188888,15.1420370494474,25.8494776481924,35.765153969965,212.421064762507,209.310007070916,221.877869537884,257.845058302778,219.486599971332
-36,85,2019-03-09 21:00:00,75600,12.9466464145244,9.21841480020859,14.1153094649407,28.0628137690646,24.7906864359433,228.652222780306,245.056094736575,247.319440392975,257.60033357369,241.425395009901
-36,85,2019-03-09 00:00:00,86400,13.1450462690514,14.1913961326994,21.2030579694532,29.097995094683,25.7036226469524,246.467651439099,256.534791905188,238.495733280796,247.203478532057,239.556424320074
-36,85,2019-06-28 03:00:00,97200,11.2154942229603,15.1495213749968,20.4103671706264,26.902414509167,24.5302084615801,244.323184318162,236.513831184487,233.130102354156,246.58396924177,236.30993247402
-36,86,2019-03-09 18:00:00,64800,20.2943323067376,16.3514183674573,18.1455566775006,27.641578040629,36.2249385596972,216.430858120162,208.393019421383,225.868051449746,257.820818947476,221.301615628398
-36,86,2019-03-09 21:00:00,75600,15.8789609559986,10.8019002941726,16.4412936573749,30.4247370574627,26.1669195158612,230.463842813237,239.743562836471,245.556045219583,257.828541791413,243.054251571495
-36,86,2019-03-09 00:00:00,86400,17.1102487915325,16.1911861603999,22.951363009165,32.3134549384335,27.8485829453671,248.682087724538,265.179233921907,242.783888442693,246.982438203119,240.751173663453
-36,86,2019-06-28 03:00:00,97200,15.2191975965072,17.909760787406,22.3263043003458,28.8436656135816,26.8511001356212,241.798371781305,244.269294398469,234.926245506652,247.409837371493,237.115241802458
-36,87,2019-03-09 18:00:00,64800,23.1325661870082,21.1700640205456,21.211966443427,29.6651304661446,35.0566304906788,221.593556245005,210.3321750963,228.715289105429,257.511914231051,226.123302714075
-36,87,2019-03-09 21:00:00,75600,19.3683401060441,14.6344511466495,19.6559109876253,32.4482322726077,27.9920356290119,231.519801751657,230.389311759973,241.660867964104,257.545650701841,243.612885454332
-36,87,2019-03-09 00:00:00,86400,21.0913845679345,18.1819612014261,25.4732643996653,34.4828370303551,29.9055279107439,250.062008255794,263.862744050738,244.217095176979,246.758999590682,242.935288994058
-36,87,2019-06-28 03:00:00,97200,19.8434059152808,20.2281281011029,23.9432409177478,31.243332163262,29.1738615935708,240.672820509543,250.346175941947,237.600159826081,246.146094179408,240.018360631151
-36,88,2019-03-09 18:00:00,64800,26.2562955479051,24.8546192960248,24.8933555666936,31.9666394032044,35.2560022250684,225.899859714904,213.192936578401,231.34019174591,256.639781555236,228.576334374997
-36,88,2019-03-09 21:00:00,75600,22.8622888192502,19.823401996689,23.5357749993931,35.2179348570067,29.0414530663121,232.253194612725,228.179830119864,239.198554023863,256.270558309323,244.635582804447
-36,88,2019-03-09 00:00:00,86400,24.6623235157423,21.2626734749237,27.6463620350841,37.0096965187771,32.0003093366088,249.708232332006,255.709674918182,244.15561244544,246.801409486352,244.835925026706
-36,88,2019-06-28 03:00:00,97200,25.2250805663197,23.5429983784783,26.3051792858038,33.718278665927,31.5603971014116,241.46001481204,251.71464817268,239.834992194259,247.278501846781,242.487997376149
-36,89,2019-03-09 18:00:00,64800,28.422702468753,27.4770515374245,28.5850908269276,34.7051101785307,36.5385892362448,229.993743985823,219.546081111409,234.688786560367,257.053490484363,229.530951581806
-36,89,2019-03-09 21:00:00,75600,26.0104988245564,25.3147966073257,27.8207543784594,37.4900030524429,30.6147793793598,233.815221023223,227.489552921999,236.976132444203,254.666715206946,245.224859431168
-36,89,2019-03-09 00:00:00,86400,29.2029885356907,26.8820410741801,30.4383951930143,39.5647569544257,34.1259602959404,247.702842123213,245.658910063307,241.798371781305,247.466749920996,246.501434324048
-36,89,2019-06-28 03:00:00,97200,30.7016684519928,27.976507938472,29.9453013744908,37.1437097504054,33.8217769980093,241.650105498603,247.533250079004,240.439645535319,247.8645081219,244.465867008352
-36,90,2019-03-09 18:00:00,64800,31.0267053927322,30.7999690907857,32.1698922612702,37.5524394390239,35.9106528092861,233.919843783662,226.534341499701,239.095617311454,258.050242778506,235.363691822447
-36,90,2019-03-09 21:00:00,75600,29.2747110879281,30.4464630295462,32.0256860370749,40.1054267019539,31.8553354350917,236.098899249642,228.882898560364,236.888658039628,253.673146489435,246.250505507133
-36,90,2019-03-09 00:00:00,86400,33.5390638061452,33.875359621079,35.543131430476,42.5577661671142,35.9169654753625,247.150237928351,240.051219992591,237.961401850992,248.00420354272,247.737930855874
-36,90,2019-06-28 03:00:00,97200,36.948388310169,34.692587252603,35.2742171220524,40.9708747678665,35.8869704217873,242.760911924937,242.286315167057,239.902654239031,247.693794945092,247.045913462372
-36,91,2019-03-09 18:00:00,64800,34.5600025889936,33.9010046150021,36.6887452739996,40.0280958756734,36.7222013936725,236.935602543267,233.392925187393,244.249525872682,258.799202212116,240.857022018028
-36,91,2019-03-09 21:00:00,75600,32.237944483764,35.1239306687546,36.1408735102303,42.4185885882474,33.8703398511214,239.56948765307,231.290670773355,238.190610712207,252.395366663336,246.67187893194
-36,91,2019-03-09 00:00:00,86400,37.2919359344869,40.5514102094679,42.4880120365713,45.8450685672817,38.0457594594466,247.311214740959,237.528807709152,235.437475351118,247.567009077875,248.41603075823
