Latitude,Longitude,"Time
(UTC)","Seconds
(UTC)","Air
Temp
350 hPa
(°C)","Air
Temp
300 hPa
(°C)","Air
Temp
250 hPa
(°C)","Air
Temp
200 hPa
(°C)","Air
Temp
150 hPa
(°C)","∂SAT
350 hPa
26,632 ft
(°K)","∂SAT
300 hPa
30,066 ft
(°K)","∂SAT
250 hPa
34,000 ft
(°K)","∂SAT
200 hPa
38,632 ft
(°K)","∂SAT
150 hPa
44,321 ft
(°K)"
15,93,2019-06-28 03:00:00,97200,-23.55,-31.25,-41.45,-53.35,-66.35,14.2133184,13.3167592,10.9108,3.14952680000005,-9.85047319999995
15,94,2019-03-09 18:00:00,64800,-22.55,-31.25,-41.15,-53.75,-65.45,15.2133184,13.3167592,11.2108,2.74952680000004,-8.95047319999998
15,94,2019-03-09 21:00:00,75600,-22.75,-30.85,-40.85,-53.85,-66.35,15.0133184,13.7167592,11.5108,2.64952680000005,-9.85047319999995
15,94,2019-03-09 00:00:00,86400,-23.55,-30.95,-41.15,-53.85,-66.15,14.2133184,13.6167592,11.2108,2.64952680000005,-9.65047319999996
15,94,2019-06-28 03:00:00,97200,-23.65,-31.05,-41.35,-53.35,-66.55,14.1133184,13.5167592,11.0108,3.14952680000005,-10.0504732
15,95,2019-03-09 18:00:00,64800,-22.35,-31.25,-41.25,-53.85,-64.75,15.4133184,13.3167592,11.1108,2.64952680000005,-8.25047319999996
15,95,2019-03-09 21:00:00,75600,-22.75,-31.15,-40.85,-53.55,-65.85,15.0133184,13.4167592,11.5108,2.94952680000003,-9.35047319999995
15,95,2019-03-09 00:00:00,86400,-23.65,-30.95,-40.95,-53.65,-66.45,14.1133184,13.6167592,11.4108,2.84952680000004,-9.95047319999998
15,95,2019-06-28 03:00:00,97200,-23.75,-30.95,-41.25,-53.75,-67.05,14.0133184,13.6167592,11.1108,2.74952680000004,-10.5504732
15,96,2019-03-09 18:00:00,64800,-22.35,-31.25,-41.45,-54.05,-64.05,15.4133184,13.3167592,10.9108,2.44952680000003,-7.55047319999997
