time,band,tx_sign,tx_lat,tx_lon,rx_sign,rx_lat,rx_lon,frequency,snr,drift,power,distance,snr_z,drift_z,arc_id
2014-03-07 18:32:00,10,WD0UG,34.479,-87.042,K9AN,40.104,-88.125,10140160,-6,-3,30,633,-5.396,0.000,ping-182527
2014-03-07 18:32:00,14,G4JVF,53.229,-1.292,DG7RJ,48.313,11.625,14097071,-10,0,23,1058,8.094,,ping-182527
2014-03-07 18:32:00,28,DL6NL,50.063,10.208,DG2NBN,49.729,11.125,28126096,-31,-1,27,75,-5.396,,ping-182527
2014-03-07 18:34:00,10,WD4LHT,29.646,-82.375,N0RW,27.729,-82.708,10140231,-3,0,30,216,-5.396,,ping-182527
2014-03-07 18:34:00,14,JH1GYE,36.354,139.042,KI7CI,39.313,-119.792,14097172,-13,0,37,8366,6.070,,ping-182527
2014-03-07 18:34:00,14,VE3DVV,43.146,-79.875,OZ7IT,55.229,12.292,14097063,-22,0,23,6328,-5.846,,ping-182527
2014-03-07 18:34:00,28,K3SIW,42.021,-88.375,WA7HL,31.438,-109.792,28126166,1,1,37,2233,-7.419,,ping-182527
2014-03-07 18:34:00,28,K3SIW,42.021,-88.375,WA6JRW,34.188,-117.375,28126192,-8,1,37,2668,-6.070,,ping-182527
2014-03-07 18:38:00,5,M0NDE,51.396,-2.958,G3THQ,51.563,-0.292,5288705,-14,0,23,186,5.396,,ping-182527
2014-03-07 18:38:00,10,G0PKT,51.479,0.958,DK6UG,49.521,8.208,10140174,4,0,23,557,6.745,,ping-182527
2014-03-07 18:38:00,28,AC7SM,36.188,-115.292,K3SIW,42.021,-88.375,28126018,-20,1,37,2400,-5.621,0.000,ping-182527
2014-03-07 18:38:00,28,KI6STW,37.438,-121.875,KB4RG,29.563,-98.125,28126109,-22,0,30,2362,-7.419,,ping-182527
2014-03-07 18:40:00,10,GM4WMM,59.063,-3.042,LA5GOA,59.354,5.208,10140196,7,0,37,470,5.171,,ping-182527
2014-03-07 18:40:00,14,K9AN,40.104,-88.125,G4DND,50.479,-3.042,14097181,-22,0,30,6384,-8.431,,ping-182527
2014-03-07 18:40:00,28,N5CSC,29.396,-98.292,PA0PZ,51.938,4.292,28126084,-13,0,37,8269,10.792,,ping-182527
2014-03-07 18:40:00,28,KZ8C,38.521,-82.708,ON4CDJ,51.104,3.958,28126094,-20,0,37,6574,-5.733,,ping-182527
2014-03-07 18:42:00,10,WD0UG,34.479,-87.042,K9AN,40.104,-88.125,10140161,-8,-3,30,633,-6.745,0.000,ping-182527
2014-03-07 18:42:00,14,GM4SFW,57.521,-4.375,PI4THT,52.229,6.875,14097149,-23,0,30,928,-5.846,,ping-182527
2014-03-07 18:42:00,14,GM4SFW,57.521,-4.375,DC0DX,51.438,6.958,14097151,-19,0,30,994,-6.520,,ping-182527
2014-03-07 18:44:00,10,DL2XL,51.188,6.208,G4KSY,53.229,-1.292,10140177,-9,0,23,559,8.094,,ping-182527
2014-03-07 18:44:00,28,K3SIW,42.021,-88.375,WA7HL,31.438,-109.792,28126166,-3,1,37,2233,-10.117,,ping-182527
2014-03-07 18:44:00,28,K3SIW,42.021,-88.375,WA6JRW,34.188,-117.375,28126192,-11,1,37,2668,-7.082,,ping-182527
2014-03-07 19:22:00,28,N5CSC,29.396,-98.292,KB9AMG,42.979,-88.375,28126028,-4,0,37,1750,12.815,,ping-194102
2014-03-07 19:24:00,14,K4RCG,38.479,-78.042,DL5RBD,49.063,12.875,14097163,-27,1,37,6949,-6.745,,ping-194102
2014-03-07 19:24:00,28,DL6NL,50.063,10.208,KB9AMG,42.979,-88.375,28126085,-23,1,27,7015,-6.745,,ping-194102
2014-03-07 19:26:00,14,G8FIK,52.063,-0.792,K9AN,40.104,-88.125,14097033,-24,0,37,6449,-5.733,,ping-194102
2014-03-07 19:26:00,28,N7SCQ,38.438,-121.792,VE6PDQ,54.729,-113.292,28126071,-20,0,30,1921,-12.815,,ping-194102
2014-03-07 19:28:00,14,HA2RD,47.063,17.875,G0MKI,51.771,-0.625,14097041,-17,1,30,1432,5.396,,ping-194102
2014-03-07 19:30:00,10,K4RCG,38.479,-78.042,N1NCO,42.479,-71.458,10140231,-7,0,37,712,-10.792,,ping-194102
2014-03-07 19:30:00,14,KI7CI,39.313,-119.792,KC6KGE,35.146,-119.458,14097146,10,-1,40,464,8.600,-0.674,ping-194102
2014-03-07 19:30:00,28,OZ7IT,55.229,12.292,K3SIW,42.021,-88.375,28126177,-28,-1,37,6880,-5.059,,ping-194102
2014-03-07 19:32:00,14,G8FIK,52.063,-0.792,2E0DSS,52.479,-2.042,14097031,-15,0,37,97,5.396,,ping-194102
2014-03-07 19:32:00,28,W8OL,43.021,-83.542,AC7SM,36.188,-115.292,28126175,-18,0,27,2806,5.396,,ping-194102
2014-03-07 19:34:00,10,OE3KFB,48.479,15.875,G0MQW,51.479,-0.958,10140176,-23,0,27,1246,-8.094,,ping-194102
2014-03-07 19:34:00,14,KC6KGE,35.146,-119.458,KI7CI,39.313,-119.792,14097161,15,-1,37,464,5.621,,ping-194102
2014-03-07 19:34:00,28,W5COV,36.979,-95.625,KX3DX,40.563,-75.125,28126058,-18,0,37,1817,-9.106,,ping-194102
2014-03-07 19:34:00,28,W3CSW,39.146,-77.125,DK3SML,49.229,9.542,28126191,-26,0,33,6616,-12.141,,ping-194102
2014-03-07 19:36:00,14,HA2RD,47.063,17.875,2E0DSS,52.479,-2.042,14097020,13,0,30,1546,11.129,,ping-194102
2014-03-07 19:38:00,10,G0MBA,51.813,1.125,DL1GMG,48.396,9.958,10140142,-25,0,23,735,-5.059,,ping-194102
2014-03-07 19:42:00,10,HB9EXC,46.146,7.125,M5LMY,51.354,-0.792,10140265,-11,-3,30,819,5.396,-0.674,ping-194102
