time,band,tx_sign,tx_lat,tx_lon,rx_sign,rx_lat,rx_lon,frequency,snr,drift,power,distance,snr_z,drift_z
2014-03-07 22:44:00,14,AA7FV,32.271,-110.708,AI4RY,32.604,-85.458,14.097155,-8,1,33,2364,,
2014-03-07 22:44:00,14,AA7FV,32.271,-110.708,K4EH,33.521,-84.958,14.097185,-11,1,33,2395,,
2014-03-07 22:44:00,14,AA7FV,32.271,-110.708,K4COD,33.104,-84.458,14.09715,1,0,33,2452,,
2014-03-07 22:44:00,14,AA7FV,32.271,-110.708,W9HLY,40.812,-84.958,14.09715,-8,0,33,2477,,
2014-03-07 22:44:00,14,AA7FV,32.271,-110.708,W3GXT,39.479,-76.792,14.097148,-7,0,33,3139,,
2014-03-07 23:10:00,14,AA7FV,32.271,-110.708,AF6CH,39.021,-119.875,14.097142,-1,0,33,1117,,
2014-03-07 23:10:00,14,AA7FV,32.271,-110.708,N6RY,33.146,-117.292,14.09715,-10,0,33,623,,
2014-03-07 23:10:00,14,AA7FV,32.271,-110.708,W4AC,26.521,-82.958,14.097172,-15,0,33,2749,,
2014-03-07 23:10:00,14,AA7FV,32.271,-110.708,AD4PT,32.979,-97.125,14.097148,2,-1,33,1274,,
2014-03-07 23:10:00,10,AA7FV,32.271,-110.708,KU4PY,32.396,-86.125,10.14025,-9,0,33,2305,,
2014-03-07 23:10:00,14,AA7FV,32.271,-110.708,K4EH,33.521,-84.958,14.097183,-16,0,33,2395,,
2014-03-07 23:10:00,14,AA7FV,32.271,-110.708,K4COD,33.104,-84.458,14.09715,-1,0,33,2452,,
2014-03-07 23:10:00,14,AA7FV,32.271,-110.708,K9AN,40.104,-88.125,14.09715,-5,0,33,2198,,
2014-03-07 23:10:00,14,AA7FV,32.271,-110.708,W9HLY,40.812,-84.958,14.09715,-11,0,33,2477,,
2014-03-07 23:10:00,14,AA7FV,32.271,-110.708,W3GXT,39.479,-76.792,14.097148,-12,0,33,3139,,
2014-03-07 23:14:00,14,AA7FV,32.271,-110.708,K6CCA,37.146,-121.625,14.09715,5,0,33,1135,,
2014-03-07 23:14:00,14,AA7FV,32.271,-110.708,AF6CH,39.021,-119.875,14.097142,1,1,33,1117,,
2014-03-07 23:14:00,14,AA7FV,32.271,-110.708,W4AC,26.521,-82.958,14.097171,-15,1,33,2749,,
2014-03-07 23:14:00,14,AA7FV,32.271,-110.708,W4MO,27.521,-82.958,14.097189,-13,0,33,2712,,
2014-03-07 23:14:00,14,AA7FV,32.271,-110.708,AD4PT,32.979,-97.125,14.097147,6,0,33,1274,,
2014-03-07 23:14:00,14,AA7FV,32.271,-110.708,KB1MVX,33.521,-84.958,14.097148,-7,0,33,2395,,
2014-03-07 23:14:00,14,AA7FV,32.271,-110.708,K4COD,33.104,-84.458,14.09715,3,0,33,2452,,
2014-03-07 23:14:00,14,AA7FV,32.271,-110.708,K9AN,40.104,-88.125,14.097149,-9,0,33,2198,,
2014-03-07 23:14:00,14,AA7FV,32.271,-110.708,W9HLY,40.812,-84.958,14.09715,-6,-1,33,2477,,
2014-03-07 23:14:00,14,AA7FV,32.271,-110.708,K4RCG,38.479,-78.042,14.09716,-7,0,33,3024,,
2014-03-07 23:14:00,14,AA7FV,32.271,-110.708,W3GXT,39.479,-76.792,14.097147,-8,0,33,3139,,
2014-03-07 23:40:00,14,AA7FV,32.271,-110.708,K6CCA,37.146,-121.625,14.09715,9,0,33,1135,,
